HSL:6173;701;173;Kamppi-Masala-Kirkkonummi-Upinniemi
HSL:6172;701;172;Kamppi-Masala-Kirkkonummi-Kantvik
HSL:2321N;701;321N;Elielinaukio-Jupperi-Vanhakartano-Niipperi
HSL:7455;700;455;Kamppi-Keimola-Luhtaanmäki (-Klaukkala)
HSL:7457;700;457;Kamppi-Keimola-Luhtaanmäki (-Klaukkala)
HSL:7456;700;456;Kamppi-Keimola-Luhtaanmäki (-Klaukkala)
HSL:4724N;701;724N;Rautatientori-Tikkurila-Koivukylä-Päiväkumpu
HSL:7465;700;465;Kamppi-Keimola-Syväoja
HSL:7355T;700;355T;Helsinki-Klaukkala
HSL:7989A;700;989A;Monninkylä-Pornainen-Järvenpää as.
HSL:7989V;700;989V;Monninkylä-Pornainen-Järvenpää as.
HSL:1010H;0;10H;Töölön halli - Ruskeasuo - Pikku Huopalahti
HSL:1010X;0;10X;Kuusitie - Pikku Huopalahti
HSL:2203V;701;203V;Leppävaara-Uusmäki
HSL:2203N;701;203N;Nuijala-Leppävaara-Uusmäki
HSL:4731N;701;731N;Rautatientori-Kulomäki
HSL:1004H;0;4H;Töölön halli - Meilahti - Munkkiniemi
HSL:9633N;701;633N;Rautatientori-Vallinoja-Kerava-Sorsakorpi
HSL:9633A;701;633A;Rautatientori-Vallinoja-Kerava-Virrenkulma
HSL:1003H;0;3H;Olympiaterminaali - Eira - Urheilutalo
HSL:2201B;701;201B;Leppävaara-Mäkkylä-Pitäjänmäki
HSL:1002B;0;2B;Töölö halli - Pasilan asema
HSL:1002H;0;2H;Töölön halli - Länsi-Pasila
HSL:6243;701;243;Espoon keskus-Muurala-Kolmperä-Kolmiranta-Veikkola
HSL:1009H;0;9H;Jätkäsaari - Rautatieasema - Kallio
HSL:4736A;701;736A;Jokiniemi-Tikkurila-Korso-Vierumäki
HSL:1008H;0;8H;Vallila - Arabia
HSL:2206A;701;206A;Kamppi-Meilahti-Etelä-Leppävaara-Kilo-Karakallio-Kera
HSL:1007H;0;7H;Hattulantie - Länsi-Pasila
HSL:1007M;0;7M;Rautatientori - Hakaniemi - Sörnäinen (M) - Messukeskus
HSL:1006T;0;6T;Länsiterminaali - Rautatieasema - Sörnäinen (M) - Arabia
HSL:1006H;0;6H;Arabia - Vallila
HSL:4739V;701;739V;Rautatientori-Pohjois-Nikinmäki
HSL:4737K;701;737K;Pohjois-Nikinmäki-Nikinmäki-Jokivarsi-Mikkola-Korso
HSL:1021BX;701;21BX;Kamppi-Lauttasaari (Vattuniemi)
HSL:1033;704;33;Munkkivuori-Tarvo
HSL:1032;704;32;Pohjois-Haaga-Munkkivuori
HSL:1031;704;31;Pohjois-Haaga-Munkkivuori
HSL:1026;704;26;Hakaniemi-Kalasatama
HSL:1024;701;24;Merikatu-Seurasaari
HSL:1023;701;23;Rautatientori-Pasila-Ruskeasuo
HSL:1020;701;20;Erottaja-Lauttasaari (Katajaharju)
HSL:1019;4;19;Kauppatori-Suomenlinna
HSL:2349;701;349;Lepsämänjoki-Hännikäinen-Serena-Kalajärvi-Lahnus-Röylä
HSL:1018;701;18;Eira-Kamppi-Munkkivuori
HSL:2348;701;348;Rinnekoti-Röylä-Kalajärvi
HSL:1017;701;17;Hakaniemi - Salmisaari
HSL:1016;701;16;Rautatientori-Korkeasaari
HSL:1015;701;15;Ruoholahti-Salmisaari
HSL:2345;701;345;Elielinaukio-Rinnekoti
HSL:1014;701;14;Hernesaari-Kamppi-Pajamäki
HSL:1055;701;55;Rautatientori-Koskela
HSL:1054;701;54;Itäkeskus(M)- Pitäjänmäki
HSL:1052;701;52;Arabia-Oulunkylä-Munkkiniemi
HSL:1051;701;51;Hakaniemi-Maunula-Malminkartano
HSL:1050;701;50;Herttoniemi(M)-Pasila-Ilmala-Suursuo
HSL:1043;701;43;Elielinaukio-Kannelmäki-Hakuninmaa
HSL:1042;701;42;Kamppi-Maununneva-Kannelmäki
HSL:1041;701;41;Kamppi-Haaga-Kannelmäki
HSL:1040;701;40;Elielinaukio-Pohjois-Haagan asema
HSL:1039;701;39;Kamppi-Munkkiniemi-Konala-Malminkartano-Myyrmäki
HSL:1037;701;37;Kamppi - Honkasuo
HSL:1036;704;36;Konala-Kannelmäki-Maununneva-Pirkkola
HSL:1035;704;35;Niemenmäki-Munkkivuori-Rakuunantie
HSL:1034;704;34;Munkkivuori-Kaskisaari
HSL:1010;0;10;Kirurgi - Lasipalatsi - Ruskeasuo - Pikku Huopalahti
HSL:1008;0;8;Jätkäsaari - Töölö - Sörnäinen (M) - Arabia
HSL:1007;0;7;Länsiterminaali - Kruununhaka - Sörnäinen (M) - Länsi-Pasila
HSL:1006;0;6;Hietalahti - Rautatieasema - Sörnäinen (M) - Arabia
HSL:1005;0;5;Katajanokan terminaali - Rautatieasema
HSL:1004;0;4;Katajanokka - Lasipalatsi - Meilahti - Munkkiniemi
HSL:1003;0;3;Olympiaterminaali - Eira - Kallio - Töölön halli
HSL:1002;0;2;Olympiaterminaali - Töölö - Länsi-Pasila
HSL:1001;0;1;Eira - Töölö - Sörnäinen (M) - Käpylä
HSL:2160KT;701;160KT;Kamppi-Lauttasaari-Latokaski
HSL:1009;0;9;Jätkäsaari - Rautatieasema - Kallio - Pasilan asema
HSL:2321;701;321;Elielinaukio-Jupperi-Vanhakartano
HSL:9738K;701;738K;Rautatientori-Kerava
HSL:2245KA;701;245KA;Espoon keskus-Muurala-Nuuksionpää-Kattila
HSL:9841;701;841;Itäkeskus-Östersundom-Söderkulla
HSL:1077;701;77;Rautatientori-Tattarisuo-Jakomäki
HSL:1075;701;75;Rautatientori-Jakomäki-Puistolan asema
HSL:1074;701;74;Hakaniemi-Malmi-Tapanila-Puistola-Heikinlaakso
HSL:1073;701;73;Hakaniemi-Malmi-Puistolan as.-Ala-Tikkurila
HSL:1071;701;71;Rautatientori-Pihlajisto-Pihlajamäki-Malmi
HSL:1070;701;70;Kamppi-Töölö-Pihlajamäki-Pukinmäki-Malmi
HSL:1069;701;69;Kamppi-Pasila-Käpylä-Malmi-Jakomäki
HSL:1067;701;67;Rautatientori-Maunula-Pakila-Torpparinmäki
HSL:1066;701;66;Rautatientori-Maunula-Länsi-Pakila-Paloheinä
HSL:1065;701;65;Rautatientori-Käpylä-Veräjälaakso
HSL:1064;701;64;Rautatientori-Oulunkylä-Itä-Pakila
HSL:1063;701;63;Elielinaukio-Maunula-Paloheinä
HSL:1061;701;61;Rautatientori-Pukinmäki-Siltamäki
HSL:1059;701;59;Herttoniemi(M)-Pasila-Pajamäki
HSL:1058;701;58;Itäkeskus(M)-Pasila-Munkkivuori
HSL:1057;701;57;Kontula(M)-Kivikko-Latokartano-Käpylä-Munkkiniemi
HSL:1056;701;56;Kalasatama(M)-Käpylä-Kannelmäki
HSL:1091;701;91;Rapuojantie-Östersundom-Puroniitty
HSL:1090;701;90;Vuosaari(M)-Aurinkolahti-Vuosaaren satama
HSL:1098;701;98;Itäkeskus(M)-Marjaniemi-Rastila(M)
HSL:1097;701;97;Itäkeskus(M)-Vartioharju-Mellunmäki(M)
HSL:1096;701;96;Vuosaari(M)-Porslahdentie
HSL:1095;701;95;Itäkeskus(M)-Mellunmäki(M)-Kontula(M)-Keinutie
HSL:1094;701;94;Itäkeskus(M)-Porttitie-Kontula(M)-Kontulankaari
HSL:1093;701;93;Itäkeskus(M)-Östersundom-Landbo
HSL:1092;701;92;Itäkeskus(M)-Myllypuro
HSL:1089;701;89;Herttoniemi(M)-Yliskylä
HSL:1080;701;80;Herttoniemi(M)-Roihuvuori-Roihupelto
HSL:1088;701;88;Herttoniemi(M) - Kaitalahti
HSL:1086;701;86;Herttoniemi(M)-Santahamina
HSL:1085;701;85;Herttoniemi(M)-Jollas
HSL:1084;701;84;Herttoniemi(M)-Gunillankallio
HSL:1083;701;83;Herttoniemi(M)-Tammisalo
